tweet_content,created_at,retweet_count,favorite_count,hashtags,media_type,user_mention,urls,quote_retweet_status
Festival season is on! Get a front row seat to #Lolla2020 this weekend for classic @Lollapalooza sets and new live… https://t.co/5dyaWFjWs0,2020-07-30 06:05:00+08:00,14,93,['Lolla2020'],no_media,['lollapalooza'],True,False
@TNAF @MosesSumney @GGYOUNGBOY @ozuna @wisin @blakeshelton @gwenstefani 🤟,2020-07-28 04:23:58+08:00,0,1,[],no_media,['TNAF'],False,False
"Have you seen the hottest new music videos yet? 🔥👀

✔️ @MosesSumney
✔️ @TNAF
✔️ @GGYOUNGBOY
✔️ @ozuna X @wisin
✔️… https://t.co/XkPsQl2UYg",2020-07-28 04:19:41+08:00,10,71,[],no_media,['MosesSumney'],True,False
RT @lollapalooza: Announcing the Official #Lolla2020 Lineup. Full schedule out Wednesday. Watch for free exclusively live on @YouTube: http…,2020-07-28 03:17:18+08:00,2834,0,['Lolla2020'],no_media,['lollapalooza'],False,False
"🔴 [LIVE]: @nelly_mo is bringing us back to Y2K 🌀🎤 Celebrate 20 years of Country Grammar, live from LA → https://t.co/aTcjTlZ1z7",2020-07-26 09:00:01+08:00,7,46,[],no_media,['Nelly_Mo'],True,False
🔴 [LIVE]: @stonebwoyb @sopharela + over 30 more 🔥 artists make up @thefader's #DigitalFORT 2.0 🎁 Tune in now → https://t.co/VBfDvav7gq,2020-07-26 05:00:00+08:00,141,700,['DigitalFORT'],no_media,['stonebwoyb'],True,False
"Vintage @justinbieber 💗 Watch five classic videos, remastered in HD for the first time → https://t.co/T2qcbfZbJH https://t.co/3DR3OfmLes",2020-07-26 03:00:00+08:00,467,1479,[],video,['justinbieber'],True,False
"RT @NorahJones: More of Norah's video catalog is now available in HD, including 'Come Away With Me' and 'Don't Know Why.' Watch all the vid…",2020-07-25 05:42:44+08:00,74,0,[],no_media,['NorahJones'],False,False
🔴 [LIVE]: Celebrate #backinblack40 with this huge @ACDC performance ⚡️ Live at River Plate is streaming now →… https://t.co/ENzeKOn2YD,2020-07-25 03:00:00+08:00,24,112,['backinblack40'],no_media,['acdc'],True,False
@LittleMix we stan 💜,2020-07-25 02:32:21+08:00,321,1675,[],no_media,['LittleMix'],False,False
@XxKianFroyxX @taylorswift13 @JColeNC @LittleMix @maroon5 @arashi5official agreed 💜,2020-07-25 02:31:15+08:00,0,1,[],no_media,['xxkianfroyxx'],False,False
"It's a great day to check out RELEASED. Featuring: 

✔️ @TaylorSwift13
✔️ @JColeNC
✔️ @LittleMix
✔️ @maroon5
✔️… https://t.co/JsOaOUBVgL",2020-07-25 02:21:11+08:00,1821,4583,[],no_media,['taylorswift13'],True,False
"And then there was #folklore. 

Listen to the brand new 8th studio album by @TaylorSwift13, and watch her new music… https://t.co/OA0dLhATcP",2020-07-24 12:03:53+08:00,866,3938,['folklore'],no_media,['taylorswift13'],True,False
