tweet_content,created_at,retweet_count,favorite_count
"Nos es imposible no amar a #LanaDelRey 😍
Termina tu día escuchando ""If You Lie Down With Me"" y el resto de cancione… https://t.co/3ZGfE810C2",2021-10-24 10:30:09+08:00,26,136
Our video for “Make Me Wanna Die” has been #remastered in HD for the first time ever! Watch it now on @YouTubeMusic. https://t.co/A0S1bZIz2Z,2021-10-24 00:51:59+08:00,120,709
"This is WILD! I’m from Streatham, South London &amp; I made it onto big billboards across NYC and LA 😭😍🥺 Honestly… https://t.co/1BG0Ft2gBF",2021-10-24 00:28:06+08:00,73,442
really excited to be part of the #YouTubeBlack Voices Music Class along with 21 other incredible songwriters and pr… https://t.co/y3vWFw481r,2021-10-23 23:43:59+08:00,160,1416
"Screenshots of @amazonmusic @Spotify @youtubemusic ...  Am a proud,grateful mother 😊 Pls do hear this beautiful Ram… https://t.co/kuPRQnwF13",2021-10-31 13:20:08+08:00,58,791
".@MusicWeek and @youtubemusic presents Young, Gifted and Black: Women In Music hosted by @ColleenLHarris and… https://t.co/QwqBqu9QLZ",2021-11-01 22:15:02+08:00,9,22
Thanks so much to @YouTubeMusic for the support! Listen my new song #JUGNU release now on #YouTubeMusic… https://t.co/Wd5yuPgGmQ,2021-10-31 14:12:06+08:00,18,160
@LittleMix @youtubemusic pez is the biggest mixer of us all,2021-10-25 00:45:24+08:00,50,488
"SALUTE...what an album 🔥🔥
Love this record, so many bangers
Watch the full video on @youtubemusic… https://t.co/du0CI5IS8E",2021-10-24 23:32:06+08:00,2010,12773
🖤@youtubemusic https://t.co/q40SDxTnOt,2021-11-02 00:53:39+08:00,90,1283
"La ""Revolución Alternativa"" de @youtubemusic está más viva que nunca con el más reciente álbum de nuestra… https://t.co/skbgO3OodB",2021-11-03 08:00:17+08:00,8,26
"💀配信開始💀

"" CLAP EM"" 
prod. @TEAM2MVCH 

https://t.co/Tg1G4JWMSK

@SpotifyJP 
@AppleMusicJapan 
@youtubemusic… https://t.co/AE8AiYEolW",2021-11-02 23:04:28+08:00,10,13
Big thanks to @YoutubeMusic for putting us on the cover of their Country Hotlist! Listen to “If I Didn’t Love You”… https://t.co/fHq3B9W6xA,2021-10-30 06:43:16+08:00,44,490
"I’m on billboards in London , NYC , LA, and ATL ! 🤯 HUGE thank you to @youtubemusic for celebrating black voices al… https://t.co/fRZCQ8zh8E",2021-10-30 01:54:38+08:00,63,472
"In HD for the first time!
All the videos from the Long Cold Winter album ❄️❄️❄️❄️
Coming Home - Don’t Know What You… https://t.co/aG3waIYb0k",2021-10-30 00:35:01+08:00,33,192
"Enjoy listening to #Saroor from #HonslaRakh Now on all your favorite streaming apps!

@AppleMusic @iTunes… https://t.co/FUMta1BMxP",2021-10-26 16:59:31+08:00,698,1251
Next up → it’s @_Telz in the class of 2022 #YouTubeBlack Voices Songwriters and Producers 🔥 @youtubemusic https://t.co/lU9W8lpltw,2021-10-25 18:23:12+08:00,28,74
"https://t.co/Kfqa5h4rXK

@kennybeats @partisanrecords @youtubemusic https://t.co/xQBczLi2iK",2021-11-03 02:33:31+08:00,34,378
¿@SebastianYatra es tu pedazo de sol ☀️? Entonces ponte tus #TaconesRojos 👠 y dale play a The Hit List en… https://t.co/eGaDBoLlJm,2021-11-03 23:05:03+08:00,9,10
Big ups to UMPG producers @_Telz and @Cadenza for their admission to @youtubemusic’s #YouTubeBlack Voices 𝗦𝗼𝗻𝗴𝘄𝗿𝗶𝘁𝗲… https://t.co/1lQDTLv3kt,2021-10-27 02:44:00+08:00,16,47
". @npsidoka na área, hein. 👀
O cantor é destaque no #TopCharts de hoje! 💥💪✨

A faixa “Louis V, Menina Linda”, do tr… https://t.co/4gWM5MCYMX",2021-11-05 04:56:33+08:00,40,249
29 mv in times square and LA 🤍 thank you @youtubemusic https://t.co/N4zAO9cuhW,2021-11-04 23:23:42+08:00,15,151
"ICYMI: @MusicWeek and @youtubemusic presents Young, Gifted and Black: Women In Music hosted by @ColleenLHarris and… https://t.co/m3bk3I5JBU",2021-11-04 22:52:15+08:00,4,9
"Watch the ""Blind Lead The Blind"" lyric video on these @youtubemusic playlists. https://t.co/RgYabzoRdX",2021-11-04 20:59:29+08:00,5,14
"some call me #QUEENSOMI but okay @youtubemusic you can call me KING 😼

👑 https://t.co/9kDADj6Aeq

#JEONSOMI #XOXO… https://t.co/8mNdAbXHG1",2021-11-03 16:58:36+08:00,1034,6701
"Resounding Response For #SaamiSaami 🔥💥

20M+ Views &amp; Trending #1 @youtubemusic  

► https://t.co/NLT1ePlKUC… https://t.co/mfAVYycWuK",2021-11-03 18:47:15+08:00,335,801
