tweet_content,created_at,retweet_count,favorite_count,hashtags,media_type,user_mention,urls,quote_retweet_status
".@janewiedlin of the @officialgogos joins @HueyLewisNews on #80sRadio to discuss the greatness of the decade.

List… https://t.co/4hU15Tcms5",2020-10-04 02:34:02+08:00,20,210,['80sRadio'],no_media,['janewiedlin'],True,False
"A new album from @brothersosborne is almost here. Pre-add #Skeletons and listen to #AllNight.
https://t.co/LOwjNRwgd3",2020-10-04 00:00:45+08:00,11,117,['Skeletons'],no_media,['brothersosborne'],True,False
".@ASAPferg talks to @oldmanebro about his latest project #FloorSeatsII, working with Pop Smoke, @marilynmanson and… https://t.co/TwFCl7wTP7",2020-10-03 22:07:05+08:00,21,171,['FloorSeatsII'],no_media,['ASAPferg'],True,False
"Today on #RapLife: @21savage x @MetroBoomin. Listen now.
https://t.co/D2iWgW75HZ https://t.co/vZuju29jnt",2020-10-03 10:52:46+08:00,20,192,['RapLife'],video,['21savage'],True,False
"Relive @djsnake's Paris La Défense Arena show with the live DJ Mix, only on Apple Music. Listen now.
https://t.co/jpf3www6uo",2020-10-03 07:04:53+08:00,36,174,[],no_media,['djsnake'],True,False
"Needed new @ShawnMendes. 😍
Get ready for his album #Wonder and listen to the title track on #AListPop:… https://t.co/wPmuPgkbS2",2020-10-03 05:22:53+08:00,32,224,['Wonder'],no_media,['ShawnMendes'],True,False
".@Kehlani joins @YoungMAMusic on a new episode of #MeAlwaysRadio.

Tune-in now on Apple Music 1:… https://t.co/vp9b2qDdBJ",2020-10-03 04:00:02+08:00,10,108,['MeAlwaysRadio'],no_media,['Kehlani'],True,False
"RT @kellymccartneyx: A banging new episode of #SouthernCraft Radio featuring @LarkinPoe is coming at y'all this Sun at 2 pm CT, but you can…",2020-10-03 03:30:14+08:00,8,0,['SouthernCraft'],no_media,['kellymccartneyx'],False,False
"#THEALBUM from @BLACKPINK is finally here. 💗

Listen to #LovesickGirls on #NewMusicDaily: https://t.co/OmvaaDaIoc https://t.co/JLNgncJxw1",2020-10-03 02:32:08+08:00,2929,7348,['THEALBUM'],video,['BLACKPINK'],True,False
"“Whenever I listen to these songs—I feel ready. I feel reconnected.”

#JanelleMonae selects a hand-picked playlist… https://t.co/eZBaKe3ApH",2020-10-03 01:29:54+08:00,14,109,['JanelleMonae'],no_media,[],True,False
"New @BLACKPINK is out now. The girls join @zanelowe on #NewMusicDaily to discuss #THEALBUM.

Listen on Apple Music… https://t.co/5bVVM398VJ",2020-10-03 00:01:49+08:00,10167,53086,['NewMusicDaily'],no_media,['BLACKPINK'],True,False
"This collab. 🤯💜
@BTS_twt x @jasonderulo x @Jawsh_685 bring you the #SavageLoveRemix.
https://t.co/Hb133bY4tC",2020-10-02 12:29:40+08:00,15373,40955,['SavageLoveRemix'],no_media,['BTS_twt'],True,False
".@YG just dropped #MyLife4Hunnid.
Add it to your library now: https://t.co/QbUEPGoY1E https://t.co/m2J4tBgBxT",2020-10-02 12:26:32+08:00,13,129,['MyLife4Hunnid'],photo,['YG'],True,False
"From @MariahCarey with love. 🦋💖

Listen to her album #TheRarities now: https://t.co/FPhFO148pG

Check out the memoi… https://t.co/aPxvsvxkhJ",2020-10-02 12:21:53+08:00,474,1964,['TheRarities'],no_media,['MariahCarey'],True,False
Listen to #AmantesYAmigos from @ArcangelPrrra x @sechmusic now: https://t.co/CGYtfpY2at https://t.co/vNIMp6uQYN,2020-10-02 12:18:28+08:00,17,210,['AmantesYAmigos'],photo,['ArcangelPrrra'],True,False
".@21savage x @MetroBoomin present #SAVAGEMODE ✌️.

Listen here: https://t.co/FJUtaSDWKG https://t.co/8MbDf9idkw",2020-10-02 12:15:13+08:00,222,1784,['SAVAGEMODE'],photo,['21savage'],True,False
"New @MarenMorris is here.
Listen to her single #BetterThanWeFoundIt now.
https://t.co/zoZXuVTNCj https://t.co/jeJ26jsetG",2020-10-02 12:12:33+08:00,14,132,['BetterThanWeFoundIt'],photo,['MarenMorris'],True,False
"A new album from @brysontiller just landed. 🙏

Listen to A N N I V E R S A R Y now: https://t.co/ro9TeQLeHO https://t.co/ZSKRAOz6aN",2020-10-02 12:08:30+08:00,53,259,[],photo,['brysontiller'],True,False
"Keep calm, @ShawnMendes is back. 😍

Pre-add his upcoming album #Wonder and listen to the title track now:… https://t.co/NppLMJl480",2020-10-02 12:06:18+08:00,579,2514,['Wonder'],no_media,['ShawnMendes'],True,False
"#DontStop 😼🃏
@theestallion x @youngthug.
Listen: https://t.co/aeL61VAVXq https://t.co/4X7hXnHAvJ",2020-10-02 12:04:05+08:00,148,479,['DontStop'],photo,['theestallion'],True,False
"Drop a 💗 for new @BLACKPINK.
#THEALBUM is finally here.
Listen now: https://t.co/8hPpOotvRc https://t.co/WU1HYrf4oW",2020-10-02 12:02:12+08:00,7229,17694,['THEALBUM'],photo,['BLACKPINK'],True,False
"30 minutes away from #NewMusicDaily Presents: @BLACKPINK. 🥳💗

Watch a live listening session with the girls as they… https://t.co/0FIxswiQcE",2020-10-02 10:30:27+08:00,8509,20689,['NewMusicDaily'],no_media,['BLACKPINK'],True,False
".@breland is joined by @KeithUrban to talk #THESPEEDOFNOW Part 1, genre and creative process on #LandoftheBRE Radio… https://t.co/v6FowtOJyv",2020-10-02 08:59:55+08:00,14,80,['THESPEEDOFNOW'],no_media,['breland'],True,False
"A new bop from @juliamichaels is here. 🥰

Listen to #LieLikeThis on #NewMusicDaily: https://t.co/OmvaaDaIoc https://t.co/xz0ulwnolo",2020-10-02 06:32:14+08:00,17,121,['LieLikeThis'],video,['juliamichaels'],True,False
".@lukecombs interviews his managers on a new episode of #BootleggersRadio.

Listen now on Apple Music Country:… https://t.co/eckiZO6Gcl",2020-10-02 05:00:05+08:00,27,337,['BootleggersRadio'],no_media,['lukecombs'],True,False
Celebrate the UK’s Black History Month with Blackout Radio—a four-part series diving into how Black British artists… https://t.co/vzXW4ULssr,2020-10-02 03:21:51+08:00,19,110,[],no_media,[],True,False
".@DjDiegoMasacre, DJ for @DeLaGhettoReal, takes over @oldmanebro’s #MotivationMix for the week.

Listen here:… https://t.co/JMTzJgsRKB",2020-10-02 01:38:37+08:00,16,120,['MotivationMix'],no_media,['DjDiegoMasacre'],True,False
"“A lot of us don’t realize how important we are to the world.”

@bujubanton connects with @EstelleDarlings on The E… https://t.co/6FV1TyMdVp",2020-10-01 23:01:56+08:00,9,92,[],no_media,['bujubanton'],True,False
Listen to #StuckOnYou from @giveon on #NewMusicDaily: https://t.co/OmvaaDaIoc https://t.co/Gd9A7VA5La,2020-10-01 11:04:47+08:00,14,125,['StuckOnYou'],video,['giveon'],True,False
