tweet_text,created_at,retweet_count,favorite_count
“A Bloodsoaked Symphony” now playing on @AppleMusic playlists #optimusmetallum / #breakingmetal / #heapsheavy 🩸 https://t.co/gI6MAtqEwa,2021-10-08 00:45:53+08:00,19,135
"IMAGINE - THE ULTIMATE COLLECTION
The Raw Studio Mixes place you in the centre of Ascot Sound Studios with the musi… https://t.co/Mg2amOTMAG",2021-10-07 16:44:02+08:00,35,252
"[MESSAGE FROM THE CLERGY] 

We wish to inform you Ghost is featured on The Riff... Thank you @AppleMusic &amp;… https://t.co/zDoNdr4Be1",2021-10-02 04:27:38+08:00,97,928
"Thank You @AppleMusic 🙌🏾

Listen to Day One on New in Pop now! 

https://t.co/dXeUwJIpqw https://t.co/NrSiDBrHQu",2021-10-01 20:01:02+08:00,33,187
#FirstListenGagaBennett hosted by @zanelowe is tonight! I can’t wait for you to hear our new songs from “Love For S… https://t.co/0pCiy9sLXB,2021-10-01 07:38:31+08:00,1269,8713
Watch #FirstListenGagaBennett live now on @applemusic! 🥰 @itstonybennett https://t.co/xfWmnfajnL https://t.co/DTJhpTmiqU,2021-10-01 11:40:00+08:00,1332,8868
I'm on the cover of the biggest African playlist on @AppleMusic with my brothers @Mutaylegendury @legendurybeatz. I… https://t.co/nGHAJeXLl5,2021-10-01 15:12:10+08:00,289,1300
"On the cover of #HindiPopHits by @AppleMusic with #Barsaat shining right on top 💘

@AmaalMallik @KunaalVermaa77… https://t.co/dJZrRxkOIC",2021-10-01 14:48:42+08:00,315,1447
THANK YOU @AppleMusic. Go find “I Don’t Want to Talk” in New Music Daily ❤️ https://t.co/jVWf1wMLd5,2021-10-01 08:23:17+08:00,204,2459
It’s time. So excited for #FirstListenGagaBennett with @Ladygaga hosted by @zanelowe. Watch live on @AppleMusic:… https://t.co/HBveSbFBFZ,2021-10-01 11:40:01+08:00,241,1235
Very excited for what’s about to happen. @ladygaga and myself celebrate the release of her latest amazing album w t… https://t.co/ZP7H1l7awY,2021-10-01 11:24:57+08:00,147,1064
"Okay, I had SO much fun recording the latest episode of #HomeNowRadio because it's all about HORSES!! ❤️🐴 Listen no… https://t.co/JyeYN1t7xf",2021-10-01 06:55:00+08:00,61,320
"#LOVEDRUNK ♥️⚡️ @AppleMusic 

https://t.co/6JogpXl82x https://t.co/n2nLNmmT5b",2021-10-01 19:19:14+08:00,59,191
Keep me #1 electronic video on apple music. ⁦@AppleMusic⁩ show everyone.  https://t.co/e0RxSpomOv,2021-10-01 16:35:28+08:00,16,127
"SS.M.S.01: “LEAVING THIS WORLD BEHIND” IS AVAILABLE FOR BROADCAST ON @AppleMusic BREAKING HARD ROCK.
https://t.co/9x6CBQYR3U",2021-10-01 03:40:59+08:00,39,245
Thank you @AppleMusic for adding A Second To Midnight to STRIKE A POSE 💜 https://t.co/BRU8S2TIm8 https://t.co/yQ26WwVnzG,2021-10-08 21:07:25+08:00,145,963
Got word that Changes ft. @bjthechicagokid is making noise on the @applemusic charts and has been added to the… https://t.co/HJmSDBpsKK,2021-10-09 06:24:34+08:00,41,266
".@BillieEilish’s ""Bored"" was been added to @AppleMusic Viral Hits playlist! Stream now: https://t.co/e3aWvwE6u8 https://t.co/yyCtm0rCCV",2021-10-09 03:31:05+08:00,41,312
Bach did not live to finish The Art of Fugue’s final contrapunctus. For 'Bach - The Art of Life' @daniil_trifonov h… https://t.co/65D28LJEZ4,2021-10-09 14:00:08+08:00,24,73
"Nuestro álbum ""La Mejor Version de Mi"" ya está disponible en Audio Espacial de @applemusic 🔥 @AppleMusicES Vayan, e… https://t.co/uKuKo5EovE",2021-10-09 02:31:45+08:00,29,73
"Dancing to the top of all playlists! Thank you for loving and listening to @GillAastha, @Singerkumarsan and… https://t.co/2rSEBu5Oeh",2021-10-09 15:30:00+08:00,20,43
Listen to “I’ve Got You Under My Skin” on @AppleMusic! @itstonybennett https://t.co/4CYme1yowi https://t.co/n6Knfw5DS5,2021-10-02 09:37:22+08:00,867,5606
"John Wick (Freestyle) out now on @applemusic @spotify @tidal @youtube @audiomack guys. 
Prod. by @juiczx_ 
Mixed &amp;… https://t.co/fAu83PNjyH",2021-10-02 03:02:07+08:00,624,2426
I spoke with @zanelowe about the #TrustFundBabies💰👶👶 album with @richthekid Check it out now only on @AppleMusic https://t.co/DOl2dvgKsI,2021-10-02 08:14:56+08:00,209,1295
.@applemusic 💎💎💎💎💎 https://t.co/60WDPFlIdD,2021-10-02 11:28:33+08:00,511,4661
"#IveGotYouUnderMySkin by @itstonybennett &amp; @ladygaga is our Song of the Day!

Stream on @AppleMusic:… https://t.co/R0DAXJTrZS",2021-10-02 03:53:46+08:00,168,660
Got the chance to talk with @MeekMill about Expensive Pain. A very honest conversation with a brilliant artist. Che… https://t.co/SsGrfpPcQc,2021-10-02 00:49:43+08:00,85,599
Tune into @QtipTheAbstract's Abstract Radio on @AppleMusic to hear his special tribute celebrating the 30th anniver… https://t.co/JTtM0JdYRM,2021-10-02 00:45:05+08:00,38,171
"Our new album, Elsewhere, will release on November 5th, but you can listen to the first single right now. Thank you… https://t.co/2NS4g35CVw",2021-10-02 00:02:00+08:00,40,218
"Mick joined @zanelowe to talk about Troubles A Comin, the 40th anniversary edition of Tattoo You and more. Check it… https://t.co/JmuvbF5kbq",2021-10-01 23:25:53+08:00,168,1269
".@MeekMill is our Artist of the Week 🔥

Listen to #ExpensivePain &amp; his most Shazamed songs on @AppleMusic:… https://t.co/izNMqY4yQp",2021-10-01 23:32:08+08:00,82,541
"Thanks @AppleMusic 
#scorpioFlow and #LaVida both on Ghana Bounce 🦂🦂🦂

https://t.co/LpSvVqc2hi https://t.co/OH4GN6QDJg",2021-10-01 23:02:20+08:00,47,193
"Thank you @AppleMusic 
#ScorpioFlow and #LaVida both on African Hip-Hop playlist 🤘🏿🦂

https://t.co/bRFjt1CFqQ https://t.co/o7ZNGvWxFg",2021-10-01 22:57:15+08:00,67,244
"Be sure to pre-add Let It Be Super Deluxe to your @AppleMusic library to receive the new tracks as they drop, inclu… https://t.co/slC8unmuYU",2021-10-01 22:53:34+08:00,123,886
"Hitting the 700,000 play milestone @AppleMusic, the incredible song ""Miracle"" featuring @YoshikiOfficial 
from Sara… https://t.co/lCcHaCwxt5",2021-10-09 22:18:52+08:00,198,822
You can check me on Africa now Radio &amp; Africa Now Playlist on @applemusic Keep streaming Oya Oya and Other Songs on… https://t.co/rl1mEgg3D1,2021-10-10 01:47:28+08:00,41,677
"Don't forget to listen to our new album ""22 Break' on @AppleMusic!

https://t.co/rbEm1Y9XVI https://t.co/TvltruPQHM",2021-10-10 00:34:14+08:00,19,185
I’m live on @AppleMusic for @Soulection now - https://t.co/S4a643mnxb https://t.co/H76BzgNUjW,2021-10-10 09:10:17+08:00,27,129
"Watch my conversation with @zanelowe about #WorldMentalHealthDay now on @applemusic 
https://t.co/W07gxYlAZO https://t.co/69vdOjvjrL",2021-10-11 03:01:00+08:00,14,145
"@bgyo_ph @AppleMusic Daseeeeerv, this no-skip album 🤩🎶 Watch the When I’m With You MV too if you haven’t yet! https://t.co/YFgrVYuWLL",2021-10-09 14:43:41+08:00,48,131
"+Lover Like Me+ Out Now on @AppleMusic 
https://t.co/n7psyLGnVZ https://t.co/28UWq4Hv23",2021-10-03 07:30:00+08:00,845,4528
