tweet_text,created_at,retweet_count,favorite_count
"@bgyo_ph @Spotify @BGYO_Akira @OFCBGYO_MEMBERS @youmeusmnl BGYO AKIRA CONCEPT PHOTO
#BGYOwhenImWithYou https://t.co/GpLgZMowvA",2021-10-03 11:04:04+08:00,89,185
@BINI_ph @Spotify EXCITING!!! https://t.co/ApZrOphZ3Y,2021-10-03 20:07:10+08:00,27,130
Listen to +Lover Like Me+ 🌻 on @Spotify -https://t.co/qyDPMUOvUj https://t.co/zV6Vhidm3q,2021-10-03 02:55:15+08:00,1259,5495
💎💎💎💎 @Spotify 💎💎💎💎 https://t.co/M60yA53B2F,2021-10-03 10:03:19+08:00,127,1137
Thank you @spotify! https://t.co/UeF0wOpClA https://t.co/m6zO7Nugik,2021-10-02 23:56:53+08:00,1402,7601
"#BINI : 🚨BINI ALBUM - TRACKLIST PART 2🚨 

Some of you guessed it right! We have four (4) different versions of “Bor… https://t.co/lU0r2SRSEj",2021-10-02 20:00:19+08:00,319,986
"💙 Where is aespa?

🌙 aespa left special messages for MY! And don't forget to save [aespa Official Playlist] for mor… https://t.co/d7LBRotZ4U",2021-10-01 11:02:51+08:00,16875,65897
"Tú que eres super fan del K-Pop, ya está disponible #Money by #Lisa de @BLACKPINK en la playlist ""Pop Hits"" de… https://t.co/ixoL0oA1gf",2021-10-02 03:00:20+08:00,1767,4769
"John Wick (Freestyle) out now on @applemusic @spotify @tidal @youtube @audiomack guys. 
Prod. by @juiczx_ 
Mixed &amp;… https://t.co/fAu83PNjyH",2021-10-02 03:02:07+08:00,589,2271
Mac Miller’s ‘Circles’ has surpassed 1 Billion streams on @Spotify 🎊 https://t.co/TggCRTHWDB,2021-10-02 09:59:53+08:00,1124,8683
#LoveForSale 🥳 @itstonybennett @Spotify https://t.co/UY6ihTzesw https://t.co/wqHztv7Vvf,2021-10-02 09:32:24+08:00,1591,11871
Mood when @Spotify telling me 90% of #Sawasa streams in the first 24 hours of release are from South Africa and Top… https://t.co/LDZ6T8irJx,2021-09-27 06:11:48+08:00,59,580
NEW PODCAST EPISODE ALERT. This week I’m joined by @tomellis17 We talk about his huge TV show @LuciferNetflix &amp; abo… https://t.co/vHZepIYygd,2021-09-27 14:05:02+08:00,45,305
Thank you !! @SpotifySA @Spotify @SpotifyAfrica for the love !! #Sawasa ~&gt; https://t.co/QMdWpnayqZ https://t.co/Q5LZN0GNv8,2021-09-27 05:06:32+08:00,20,210
I have tons of playlists on my official @Spotify #Spotify https://t.co/HLLSCbCiiP https://t.co/MdMWq6UnPa,2021-09-27 01:19:48+08:00,19,345
"You all are amazing! BLACK HOLE hit 1 million streams on @spotify. Thank you for continuously supporting us. 🖤

Who… https://t.co/sRQnaslUFx",2021-09-26 23:13:27+08:00,25,262
Listen on @spotify now - https://t.co/kp7M49qaPD,2021-10-06 01:49:26+08:00,1037,3544
"‘Dhindora’ title track is available on @Spotify now! Suno 😍🔥
@Kailashkher #DhindoraTrailer 
 #Snehakhanwalkar 

 https://t.co/prk6cWW56l",2021-10-06 02:37:36+08:00,155,2304
Fue todo un encuentro. Óiganlo! Por @Spotify en Afondo https://t.co/f8c5XcesCu,2021-10-06 08:17:50+08:00,93,431
"@StarMusicPH @bgyo_ph @Spotify @Spotify_PH Waaait excuse me @BGYO_PH who gave you the right?! Pambibitin is real, t… https://t.co/5m7X8IHIld",2021-10-05 21:14:27+08:00,129,264
"#BGYO : 🚨 BGYO ""THE LIGHT"" ALBUM SAMPLER 🚨 

ARE YOU READY? We're just a few days away from hearing the whole… https://t.co/rReTLI7gyr",2021-10-05 21:00:01+08:00,843,1714
"#BINI : 🚨 BINI GOLDEN ARROW - AUDIO TEASER 🚨 

Do you like it? 🍭 If yes, then make sure to pre-save the “Born To Wi… https://t.co/LEMM9r3cIk",2021-10-05 20:00:01+08:00,400,923
"Counting down the days before @BGYO_PH’s first full album comes out? Same! 🙈

Well, these snippets are definitely k… https://t.co/VqPUhlQ7v0",2021-10-05 21:08:18+08:00,265,635
"We couldn’t get enough of this album sampler, and we definitely can’t wait to fully experience @BGYO_PH’s debut alb… https://t.co/erdtxLc7HT",2021-10-05 21:09:04+08:00,193,470
Na Pre-save mo na ba ang aking upcoming single “Sawa na” sa @Spotify ? Kung hindi pa iclick mo na yung link sa baba… https://t.co/Tt8gmDXvhs,2021-10-05 18:39:45+08:00,125,859
"Freddie Mercury just hit 5,000,000 followers on @Spotify 🙌
Thanks for listening 🎶
https://t.co/oa7S1ti3cP https://t.co/P6wzQVDtCq",2021-10-05 17:59:39+08:00,134,1206
